"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 19 16:27:24 CST 2026","Mon Jan 19 16:36:02 CST 2026","518351","","","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Mon Jan 19 14:42:32 CST 2026","Mon Jan 19 14:46:39 CST 2026","246868","tests.steps","test_00_listen_to_a_CD","","","","user_switches_tracks_during_playback[serial, prev-《不能說的秘密》電影原聲帶, 01]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switch_tracks_during_playback"
"passed","Mon Jan 19 15:13:40 CST 2026","Mon Jan 19 15:15:23 CST 2026","102745","","","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Mon Jan 19 11:13:19 CST 2026","Mon Jan 19 11:15:21 CST 2026","122545","tests.steps","test_00_listen_to_a_CD","","","","test_user_pause_playback[serial, pause!]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_pause_playback"
"passed","Mon Jan 19 11:04:19 CST 2026","Mon Jan 19 11:12:10 CST 2026","471234","tests.steps","test_00_listen_to_a_CD","","","","test_user_play_the_cd[serial, play!-《不能說的秘密》電影原聲帶]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_play_the_cd"
"passed","Fri Jan 16 14:27:13 CST 2026","Fri Jan 16 14:28:26 CST 2026","73271","tests.steps","test_00_listen_to_a_CD","","","","test_user_stop_playback[remote, stop]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_stop_playback"
"passed","Mon Jan 19 10:49:23 CST 2026","Mon Jan 19 10:50:40 CST 2026","76279","tests.steps","test_00_listen_to_a_CD","","","","test_user_play_the_cd[serial, eject!-tray with 《不能說的秘密》電影原聲帶 inserted]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"passed","Mon Jan 19 11:55:55 CST 2026","Mon Jan 19 11:56:36 CST 2026","41625","","","","","","test_user_switches_tracks_during_playback[serial, prev-\u300a\u4e0d\u80fd\u8aaa\u7684\u79d8\u5bc6\u300b\u96fb\u5f71\u539f\u8072\u5e36, 01]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_switches_tracks_during_playback"
"passed","Mon Jan 19 16:07:18 CST 2026","Mon Jan 19 16:19:58 CST 2026","760772","tests.steps","test_00_listen_to_a_CD","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
"passed","Mon Jan 19 10:25:21 CST 2026","Mon Jan 19 10:25:31 CST 2026","10525","","","","","","test_user_insert_a_cd[serial, eject!-\u300a\u4e0d\u80fd\u8aaa\u7684\u79d8\u5bc6\u300b\u96fb\u5f71\u539f\u8072\u5e36]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_insert_a_cd"
"passed","Mon Jan 19 16:26:01 CST 2026","Mon Jan 19 16:27:18 CST 2026","77486","","","","","","test_user_change_playback_mode[random-25]","/Users/lily/PycharmProjects/pytest-bdd-project/amp/tests/features/00_listen_to_a_CD.feature: user_change_playback_mode"
